"Identyfikator Produktu (ID)";"Indeks produktu";"Atrybut (Nazwa:Typ:Pozycja)*";"Wartość (Wartość:Pozycja)*";"Identyfikator dostawcy";"Indeks";"kod EAN13";"Kod kreskowy UPC";"MPN";"Koszt własny";"Wpływ na cenę";"Podatek ekologiczny";"Ilość"
1;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";31
1;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";38
1;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";39
1;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";25
1;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";19
1;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";14
1;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";29
1;"";"Rozmiar:select:1";"60";"";"";"";"";"";"";"";"";16
2;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";10
2;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";12
2;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";48
2;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";33
2;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";38
2;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";26
2;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";33
3;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";37
3;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";48
3;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";29
3;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";10
4;"";"Rozmiar:select:1";"S";"";"";"";"";"";"";"";"";33
4;"";"Rozmiar:select:1";"M";"";"";"";"";"";"";"";"";23
4;"";"Rozmiar:select:1";"L";"";"";"";"";"";"";"";"";11
4;"";"Rozmiar:select:1";"XL";"";"";"";"";"";"";"";"";35
4;"";"Rozmiar:select:1";"XXL";"";"";"";"";"";"";"";"";32
5;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";25
5;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";22
5;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";45
5;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";47
5;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";31
5;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";17
5;"";"Rozmiar:select:1";"60";"";"";"";"";"";"";"";"";34
6;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";48
6;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";18
6;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";44
6;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";24
6;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";20
6;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";39
6;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";31
7;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";46
7;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";10
7;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";10
7;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";31
7;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";29
7;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";40
7;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";25
8;"";"Rozmiar:select:1";"S";"";"";"";"";"";"";"";"";46
8;"";"Rozmiar:select:1";"M";"";"";"";"";"";"";"";"";35
8;"";"Rozmiar:select:1";"L";"";"";"";"";"";"";"";"";20
8;"";"Rozmiar:select:1";"XL";"";"";"";"";"";"";"";"";37
8;"";"Rozmiar:select:1";"XXL";"";"";"";"";"";"";"";"";18
9;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";39
9;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";41
9;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";32
9;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";20
9;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";30
9;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";10
10;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";46
10;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";38
10;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";15
10;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";36
10;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";42
10;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";12
