"Identyfikator Produktu (ID)";"Indeks produktu";"Atrybut (Nazwa:Typ:Pozycja)*";"Wartość (Wartość:Pozycja)*";"Identyfikator dostawcy";"Indeks";"kod EAN13";"Kod kreskowy UPC";"MPN";"Koszt własny";"Wpływ na cenę";"Podatek ekologiczny";"Ilość"
1;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";45
1;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";27
1;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";42
1;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";25
1;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";14
1;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";50
1;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";29
1;"";"Rozmiar:select:1";"60";"";"";"";"";"";"";"";"";14
2;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";23
2;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";45
2;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";38
2;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";29
2;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";11
2;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";35
2;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";45
3;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";47
3;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";29
3;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";44
3;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";20
4;"";"Rozmiar:select:1";"S";"";"";"";"";"";"";"";"";27
4;"";"Rozmiar:select:1";"M";"";"";"";"";"";"";"";"";40
4;"";"Rozmiar:select:1";"L";"";"";"";"";"";"";"";"";50
4;"";"Rozmiar:select:1";"XL";"";"";"";"";"";"";"";"";19
4;"";"Rozmiar:select:1";"XXL";"";"";"";"";"";"";"";"";45
5;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";16
5;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";45
5;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";11
5;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";21
5;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";31
5;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";36
5;"";"Rozmiar:select:1";"60";"";"";"";"";"";"";"";"";15
6;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";47
6;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";23
6;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";20
6;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";35
6;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";23
6;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";15
6;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";42
7;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";34
7;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";19
7;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";41
7;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";19
7;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";20
7;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";15
7;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";15
8;"";"Rozmiar:select:1";"S";"";"";"";"";"";"";"";"";19
8;"";"Rozmiar:select:1";"M";"";"";"";"";"";"";"";"";46
8;"";"Rozmiar:select:1";"L";"";"";"";"";"";"";"";"";43
8;"";"Rozmiar:select:1";"XL";"";"";"";"";"";"";"";"";25
8;"";"Rozmiar:select:1";"XXL";"";"";"";"";"";"";"";"";32
9;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";11
9;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";28
9;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";43
9;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";15
9;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";12
9;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";32
10;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";36
10;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";50
10;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";30
10;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";23
10;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";34
10;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";24
10;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";27
10;"";"Rozmiar:select:1";"60";"";"";"";"";"";"";"";"";31
11;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";48
11;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";30
11;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";39
11;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";46
11;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";25
11;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";39
11;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";24
11;"";"Rozmiar:select:1";"60";"";"";"";"";"";"";"";"";40
12;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";43
12;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";29
12;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";33
12;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";21
12;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";26
12;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";47
12;"";"Rozmiar:select:1";"60";"";"";"";"";"";"";"";"";41
13;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";25
13;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";18
13;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";42
13;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";41
13;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";44
13;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";27
14;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";30
14;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";44
14;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";34
14;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";16
14;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";23
14;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";20
14;"";"Rozmiar:select:1";"60";"";"";"";"";"";"";"";"";24
15;"";"Rozmiar:select:1";"25";"";"";"";"";"";"";"";"";19
15;"";"Rozmiar:select:1";"27";"";"";"";"";"";"";"";"";13
15;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";12
15;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";31
15;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";12
15;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";46
15;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";47
15;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";32
15;"";"Rozmiar:select:1";"60";"";"";"";"";"";"";"";"";47
15;"";"Rozmiar:select:1";"98";"";"";"";"";"";"";"";"";15
15;"";"Rozmiar:select:1";"102";"";"";"";"";"";"";"";"";38
15;"";"Rozmiar:select:1";"106";"";"";"";"";"";"";"";"";36
16;"";"Rozmiar:select:1";"25";"";"";"";"";"";"";"";"";22
16;"";"Rozmiar:select:1";"27";"";"";"";"";"";"";"";"";22
16;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";29
16;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";40
16;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";19
16;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";14
16;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";49
16;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";12
16;"";"Rozmiar:select:1";"60";"";"";"";"";"";"";"";"";25
16;"";"Rozmiar:select:1";"98";"";"";"";"";"";"";"";"";40
16;"";"Rozmiar:select:1";"102";"";"";"";"";"";"";"";"";32
16;"";"Rozmiar:select:1";"106";"";"";"";"";"";"";"";"";26
17;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";32
17;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";19
17;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";41
17;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";11
17;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";39
17;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";46
18;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";11
18;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";41
18;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";24
18;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";18
18;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";35
18;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";14
18;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";13
19;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";18
19;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";24
19;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";33
19;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";49
19;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";21
19;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";19
19;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";47
20;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";20
20;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";23
20;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";32
20;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";47
20;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";33
21;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";37
21;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";19
21;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";37
21;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";41
21;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";16
21;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";10
21;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";31
22;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";26
22;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";36
22;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";35
22;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";24
22;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";11
22;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";42
22;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";28
23;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";47
23;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";12
23;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";33
23;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";47
23;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";14
23;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";22
24;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";48
24;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";35
24;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";48
24;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";43
24;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";13
24;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";18
25;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";48
25;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";28
25;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";43
25;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";32
25;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";44
25;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";22
25;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";10
